appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Kyle Morrison ,s_01,A meta-analysis on the mitigation measures of methane emissions in Chinese rice paddy,9:23,Yes,R,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,hese models were designed to accommodate dependence via random effects and incorporated sampling variance–covariance matrices.,Yes,,Yes,Table 2,Yes,"fail safe n, egger's regression",Yes,,No,,,,,9:28
Erin Macartney,s_01,A meta-analysis on the mitigation measures of methane emissions in Chinese rice paddy,13:15,Yes,R,No,,Yes,,Yes,,Yes,,Yes,Random effects model,Yes,,Yes,They state that the use a random effects model to accomodate dependence between effect sizes,Yes,reported overall mean for each mitigation methods - however no global mean across mitigation methods,Yes,Table 2,Yes,fail-safe numbers,Yes,cumulative meta-analysis,No,Available upon request,Yes,Supplementary Table 2,,13:30
Guang Hao,s_01,A meta-analysis on the mitigation measures of methane emissions in Chinese rice paddy,11:13,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,11:29
Kyle Morrison,s_02,A systematic review and meta-analysis of the association between exposure  to potentially toxic elements and gestational  diabetes mellitus,10:58,Yes,,No,,Yes,,No,states n = 116 but not clear if effect size,No,,Yes,,No,states weighted but not what the weights are,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,11:02
Silvina Magdalena Manrique,s_02,A systematic review and meta-analysis of the association between exposure  to potentially toxic elements and gestational  diabetes mellitus,16:33,Yes,"The statistical analysis was carried out using Stata software version 16 (Stata Corp LP, 100 College Station, Texas)
",No,,Yes,"Among these, 11 articles were utilized for the meta-analyses
",No,,Yes,"Efect sizes were estimated by the restricted maximum-likelihood approach with weighted random efects
and are expressed as standardized odds ratio (ORs) with 
95% CIs",Yes," we utilized a random-efect model, allowing for variation both within and between studies (REML model)",No,,No,,No,,Yes,"We thoroughly assessed heterogeneity among the selected studies using established statistical tests such as Cochran’s Q and the I 2 statistic
",Yes,"The evaluation of our meta-analytical associations through funnel plots revealed no evidence of publication bias
",Yes,"The leave-one-out sensitivity analyses was conducted for each meta-analysis result to illustrate the robustness of the result
",Yes,"Table 1
",Yes,table 1,,16:48
Jelaine Gan,s_02,A systematic review and meta-analysis of the association between exposure  to potentially toxic elements and gestational  diabetes mellitus,13:06,Yes,,,,Yes,,Yes,,No,just mentioned OR without formula or reference,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,The data was presented but no description of the data extracted,,13:24
Evangelia Ntzani,s_02,A systematic review and meta-analysis of the association between exposure  to potentially toxic elements and gestational  diabetes mellitus,9:42,Yes,"The statistical analysis was carried out using Stata software version 16 (Stata Corp LP, 100 College Station, Texas). ",No,No code reported,Yes,"In total, 16 articles (n = 116,728 participants) were included in our review, with 11 eligible for meta-analysis.

During the full-text screening step, two articles were excluded after careful review due to lack of exposure and outcome of interest, leaving a total of 16 articles (n = 116,728 participants) included in our review. Among these, 11 articles were utilized for the meta-analyses [27, 31, 32, 41, 54, 62, 66, 69, 70, 78].

Plus tables and figures",No,Total number not explicitly reported. Number may be inferred by the provided tables and forest plots. ,Yes,Not reported. Reference provided. ,Yes,"Based on the degree of heterogeneity, we employed appropriate statistical models. Effect sizes were estimated by the restricted maximum-likelihood approach with weighted random effects and are expressed as standardized odds ratio (ORs) with 95% CIs. We also performed the sub-group analysis to determine the potential impacts of exposure timing during pregnancy and sample type. Because of the limited number of studies included in each meta-analysis and the resulting limited statistical power of Cochran's Q test, a cautious approach was taken, we utilized a random-effect model, allowing for variation both within and between studies [4, 25]. ",Yes,Weights provided in the forest plots plus text and table (CI),Yes,Not discussed,Yes,"Reported (text, tables, figures)",Yes,"We thoroughly assessed heterogeneity among the selected studies using established statistical tests such as Cochran's Q and the I2 statistic. We considered heterogeneity both in the choice of the statistical model and in the interpretation of the results. Based on the degree of heterogeneity, we employed appropriate statistical models. ",Yes," To evaluate potential publication bias, Egger's regression and Funnel plots were utilized [13]. 

Plus text and supplement",Yes,The leave-one-out sensitivity analyses was conducted for each meta-analysis result to illustrate the robustness of the results.,No,The data of this study will be available on request from corresponding author.,,The data of this study will be available on request from corresponding author.,,9:45
Kyle Morrison,s_03,A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,14:15,Yes,,,CMAS,Yes,,Yes,,Yes,"The authors refer to: Becker, B.J. Synthesizing standardized mean-change measures. Br. J. Math. Stat. Psychol. 1988, 41, 257–278.",Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,they have provided this so we can remove the not applicable option I think in future,,14:26
Dakis-Yaoba Ouédraogo,s_03,A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,15:00,Yes,"Section 2.2 ""we analysed the effect sizes using the CMA (Comprehensive Meta-Analysis)
3.0 program.""",,The authors have used a GUI/click based software that does not produce a code (Comprehensive Meta-Analysis).,Yes,Fig 1,Yes,Table 5 and section 3.1,Yes,"Reference for formula, section 2.2",Yes,Section 2.4,No,,No,,Yes,Table 5,Yes,Table 5,Yes,Fig 2,No,,No,"Data only partially reported, in Table 1",,Data only partially reported (table 1),"Hesitation on item 7, the authors may have conducted a meta-analysis without weights (i.e., unweighted meta-analysis)",15:21
Betina Kozlowsky Suzuki,s_03,A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,NA,Yes,Comprehensive Meta-Analysis software,,,Yes,Fig 1,Yes,Table 5,Yes,"The authors refer to: Becker, B.J. Synthesizing standardized mean-change measures. Br. J. Math. Stat. Psychol. 1988, 41, 257–278. ",Yes, random effect model (abstract),No,,No,,Yes,Table 5,Yes,Table 5,Yes,Fig 2,No,,No,,,"The authors provide description of the extracted variables, but do not inform raw data.","Generally straight forward. The authors carried out a Quality assessment. The authors provide description of the extracted variables, but do not inform raw data. Appraisal time taken: 30:25 (30 minutes and 25 seconds).",NA
