Article_title,Article_doi
Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,10.1080/10807039.2023.2236725
Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,10.1289/EHP12678
Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,10.1016/j.scitotenv.2023.166493
Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,10.1080/09603123.2023.2280155
Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,10.3390/toxics11090753
Exposure to endocrine-disrupting plasticisers and lung function in children and adolescents: A systematic review and meta-analysis,10.1016/j.envres.2023.117751
The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,10.3390/su15054637
Association between phthalate exposure and obesity risk: A meta-analysis of observational studies,10.1016/j.etap.2023.104240
A systematic review and meta-analysis of pollutants in environmental media,10.1007/s11356-023-30347-5
A systematic review and meta-analysis of the association between exposure to potentially toxic elements and gestational diabetes mellitus,10.1186/s12302-024-00878-w
"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",10.1007/s11356-023-28592-9
Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,10.1002/tox.24286
Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,10.3390/toxics11110882
Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,10.3390/toxics12030209
Associations between prenatal exposure to phthalates and birth weight: A meta-analysis study,10.1016/j.ecoenv.2023.115207
A meta-analysis on the mitigation measures of methane emissions in Chinese rice paddy,10.1016/j.resconrec.2023.107379
The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,10.1007/s11356-023-25926-5
Association between Air Pollutants and the Risk of Sleep Disorders: A Systematic Review and Meta-analysis,10.4209/aaqr.230197  
Meta-analysis of the thermal pollution caused by coastal nuclear power plants and its effects on marine biodiversity,10.1016/j.marpolbul.2023.115452
Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,10.3390/su15129693
