Q20,Q21
Slightly important,"I think the importance of this depends on the research questions/aims and the research field. In some areas it would be expected that there is a lot of remaining heterogeneity in the data, so reporting on it isn't that informative. Perhaps something to include in a supplementary table."
Very important,It should be mentioned in the text and detailed in supplimentary materials.
Extremely important,"Maybe add, 'is is correctly described' - they are often not correctly described."
Extremely important,"Reporting a measure of heterogeneity between effect size estimates in a meta-analysis is important because it allows other researchers to understand how much the effect sizes vary across the studies in the meta-analysis. This information is essential for interpreting the results of the meta-analysis.
"
Very important,I think heterogeneity measures are commonly required for meta-analyses
Very important,Understand more about the assumptions and limitations
Moderately important,I am not so familiar with all of this - haven't used it in my meta analysis...
Moderately important,"Not sure of my response.
Q and I2 are not well understood and interpreted I think. Many people reading Meta-analyses do not focus on this. 
+ In ecological studies the between study heterogeneity is often very very large. 
But, yes, it is mathematically important."
Very important,Limitations an interpretation of heterogeneity tests should be discussed.
Extremely important,"Unsure what is meant by measure of heterogeneity. Also, perhaps measure of heterogeneity is not as important as the clarity on the method for estimating the heterogeneity, the size of heterogeneity and the correct interpretation of that value."
Extremely important,The report of heterogeneity is important to correctly report and interpret data.
Extremely important,very important for later decision making
Not at all important,"I assume heterogeneity by default so I'm just not that interested in testing for this. Put another way, if I'm going to use varying (aka random) effects in my model anyways because they're more efficient (e.g. Andrew Gelman talks a lot about this), then the test is meaningless. 
According to some, testing for heterogeneity is important when interpreting 'overall effects' from meta-analyses; I can see that. But I'm also never interested in such 'overall effects' in many contexts as it's akin to giving the weather forecast for a continent: effects are *always* conditional, and particularly for environmental sciences, those conditions arise from different studies.
So I wouldn't want to enforce such a test when it's unnecessary."
Very important,"Could be useful to provide examples, like I2."
Very important,"
This practice assesses consistency among studies, providing information about the agreement or variation of results. An appropriate measure of heterogeneity enhances the interpretation of results and the formulation of conclusions. It allows for the identification of potential confounding factors or moderators and demonstrates a rigorous and transparent methodological approach, essential for scientific credibility. Ideally, authors should report which measure was used and how it influences the interpretation of the meta-analysis results, thus strengthening the robustness and reliability of the study."
Extremely important,"fundamental to assess if meta-analysis is feasible and reliable.
"
NA,"So, by measure of heterogeneity, do you mean sd, se, range, 95%CI, etc.?"
Very important,Important for interpretation and assessment of bias
Very important,Heterogeneity refers to the variability in effect sizes across different samples and is one of the major criteria to judge the importance and advancement of a scientific area.
Very important,would be interesting to know what measure is reported
Moderately important,I cannot answer this. I do not understand the question
Very important,"Some statistical tests assume the homogeneity between effect size estimates. So, the authors must let the readers know how they deal with the heterogeneity."
