Q18,Q19
Very important,"Yes this is important, although just 'considering' non-independence isn't enough. Saying there is non-independence but not explaining what you do about it (if anything) would be problematic and the same as not reporting it."
Very important,Most of the paper ignored this information that should be reported.
Extremely important,"A lot of people won't understand the importance of this, but it is pretty important because obviously the SE will be wrong if they don't account for it.  Being in the final tool might make people more aware of the issue as well."
Extremely important,"That is usually need mixed models, so definitly"
Extremely important,Unfortunately non-independence is seldom properly treated in meta-analyses.
Very important,"Reporting whether there is non-independence of effect size estimates in a meta-analysis is important because non-independence can affect the validity of the results. By reporting whether there is non-independence, other researchers can be aware of this potential problem and can take steps to address it in their own meta-analyses."
Very important,Question not so clear - I think examples of what types of independence should be considered here would be helpful. There is often some level of dependence in datasets used for meta-analyses and a discussion of that should be done by the authors. Unclear to what extend such discussion should be detailed.
Very important,"Again, understand more about the limitations and assumptions of the study"
Very important,"Ofen a blind spot in ecological/agronomic meta-analysis. NOt very understood by researcher, I think (or at leat by the students during the training on meta-analysis I give)."
Very important,"Many meta-analyses in my field do not do this, and I think this is important"
Extremely important,Maybe could also include if the authors have attempted to control for non-independence?
Extremely important,Failure to account for non-independence can artificially reduce the amount of variability around effect size estimates and therefore increase the likelihood of false positives.
Very important,Need to be very acurate
NA,Unsure what is meant by non-independence of effect size estimates
Extremely important,"I think the question should be reworded to refer to whether they tested for a specific form of non-independence, or if they addressed it in their model.  I don't think the authors can actual report if there was non-independence -- in most cases, there certainly is -- it's a matter of detecting it and appropriately addressing it."
Moderately important,I am not sure about the importance of this matter...
Extremely important,"again, the questions isnt well-worded. Of course, if there is non-independence, it should be reported and taken into account."
NA,"That sounds like a great thing, but not something I have done or know how to do, so I can't comment. The field has developed since my last meta-analysis (though I have done a systematic review recently)"
Very important,"The 'non-independence' could be clarified a bit more -- statistical dependence arises in all sorts of ways within the meta-analysis context. 
Also, the example here is weak/bland, suggest getting more illustrative examples."
Extremely important,"The phrasing could be improved here in my opinion, e.g., ""Do the authors report sources of non-independence between effect size estimates...""
More details would be helpful here too. For instance, if authors have used random effects to account for study-specific effects, then they have accounted for non-independence although they haven't specifically mentioned words such as ""non-independence""."
Moderately important,"Seems important but I'm not too clued up on this aspect. Does this refer to results from the same study/paper? Normally, I would choose only one result if there is dependence between them."
Extremely important,"This practice is essential for maintaining the integrity and validity of the results, as non-independence can introduce significant biases. It provides transparency and enhances the reproducibility of the study, allowing other researchers to understand and address the complexities of the analysis. Furthermore, it is crucial for a critical evaluation of the heterogeneity among studies and for ensuring accurate interpretations. The disclosure of this information encourages the use of appropriate statistical methods to handle these dependencies, contributing to the methodological improvement of the field. Ideally, authors should detail in the manuscript and supplementary material how non-independence was addressed, which strengthens the robustness and credibility of the research."
Extremely important,Important but hardly ever done. They type of non-independence is also important (clustered/correlated due to repeated measures etc.)
Slightly important,"Not very relevant as the difference may be driven by a p values cutoff (e.g. p<0.05, an approach to dismiss, the use of fixed statistical cutoff."
NA,"Would effect sizes be non-independent in a meta-regression for which you had multiple data points per paper? If so, a meta-regression may have ways to account for ""non-independence"" in their modeling framework (e.g., random effects?) without calling out non-independence."
Extremely important,"By reporting non-independence and describing how it was dealt with, it helps other authors recognizing non-independence within their own data and provides analytical tools that are sound and reproducible"
Very important,"Again, important for assessing potential bias"
Extremely important,this is the basis for statistical analysis.
NA,Non independence can affect two major interrelated components of a meta-analysis: (i) the calculation of effect size statistics and (ii) the estimation of overall meta-analytic estimates and their uncertainty.
Moderately important,"I feel that if there is non-independence it would be reflected in the chosen statistical model. If the authors are not aware of non-independence, then, ultimately, the chosen statistical model would likely not be optimal for the data set anyway."
Extremely important,"There is no such thing as non-independence. That is the central problem of meta-analysis. There is always a confounding influence. We see a flood of meta-analysis (recently mostly from researchers in China), that irons the data flat. Whatever response meta-analysis aims at distilling depends on the quality of the handling of confounding variables. This is not normally something that statistics experts can do. In the end we often see meta-analysis the outcome of which reflects the frequency distribution of methods. For instance, if 95% of the data come from potted plants and 5% from trees in nature, the outcome will be dominated by what potted plants do, no matter how sophisticated the meta-analysis is."
Extremely important,"To avoid biased results, it is important to report a non-independent effect size estimated."
Very important,Yes! And very often underreported (or not even considered)
Extremely important,For checking assumptions and validate the statistical methods used.
Extremely important,I think this is the least understood aspect of MA (especially for researchers new to MA) and so it is often not reported. But not appropriately handling non-independence will lead to incorrect conclusions so authors need to report this.
